word,count_in_spam,count_in_nonspam,P(word),P(non-spam),P(spam),P(word|spam),P(word|nonspam),P(spam|word),P(non_spam|word)
sportsbook,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
skinnew,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
boxcar,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
siemens,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ai,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
ewfc,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
oniony,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ornament,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
robbed,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
consignments,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
qualification,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
strand,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
verge,17,0,1.3e-05,0.761173,0.238827,6.4e-05,0.0,1.161947,0.0
eurekahedge,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
padova,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
symantecsystemworks,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
foreclosed,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
wgay,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
eaf,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
polyurethane,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
hang,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
distortion,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
tolerance,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
upfront,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
confiscated,8,0,6e-06,0.761173,0.238827,3e-05,0.0,1.161947,0.0
blackface,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
plutoristal,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
invests,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
peoplewho,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
circlet,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
heartedly,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
cartiers,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
carbonate,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
chelloo,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
escaped,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
disfunction,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
straw,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
relocatable,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
odzzfzzq,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
copeiro,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
tarantula,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
televiewer,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
xana,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
humility,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
corbel,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
wwwpuntocom,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
piils,7,0,5e-06,0.761173,0.238827,2.6e-05,0.0,1.161947,0.0
torture,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
pyaemia,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
savethem,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
freshest,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
intrests,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
astragalus,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
simonnemayer,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
depto,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
indigestion,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
urce,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
dlcations,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
runyuan,6,0,5e-06,0.761173,0.238827,2.2e-05,0.0,1.161947,0.0
greatful,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
hanna,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
meteoric,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
unbuttoned,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
tahmin,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
medz,15,0,1.2e-05,0.761173,0.238827,5.6e-05,0.0,1.161947,0.0
ordinates,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
labeis,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
northsaint,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pets,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
probler,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
catches,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
wf,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
tarmac,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
dmshushhb,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
turks,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
eachfor,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
materiais,10,0,8e-06,0.761173,0.238827,3.7e-05,0.0,1.161947,0.0
clerkly,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
xfocwg,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
barbarous,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
probiems,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
overdraft,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
egal,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
putpeel,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
omnirange,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
modesty,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
delany,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
jeet,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
quadro,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
bigaaron,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
captech,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
pluviometer,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
lincks,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ghb,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
scoaway,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
overthrew,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
untune,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
oven,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
baint,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
rtun,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
compris,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
unproductive,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
spamcop,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
purge,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
multipie,9,0,7e-06,0.761173,0.238827,3.4e-05,0.0,1.161947,0.0
fines,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
aussi,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
tocks,9,0,7e-06,0.761173,0.238827,3.4e-05,0.0,1.161947,0.0
agowe,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
intensified,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
wsop,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
podagra,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
eluxmedia,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
advicer,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
valuecreatorforall,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
exclusiverewards,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
distributor,8,0,6e-06,0.761173,0.238827,3e-05,0.0,1.161947,0.0
stoc,17,0,1.3e-05,0.761173,0.238827,6.4e-05,0.0,1.161947,0.0
emailings,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ripping,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
effectuation,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pitied,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
uio,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
sheep,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
vitalism,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
xnd,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
spheral,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
sicaf,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
impractical,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
standardagents,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
monsters,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ianquaqe,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
internetcds,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
ant,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
congiomerates,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
clothesman,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
hav,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
ine,7,0,5e-06,0.761173,0.238827,2.6e-05,0.0,1.161947,0.0
kisses,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
cur,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
weils,6,0,5e-06,0.761173,0.238827,2.2e-05,0.0,1.161947,0.0
distltmich,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
dribbling,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
ooking,19,0,1.5e-05,0.761173,0.238827,7.1e-05,0.0,1.161947,0.0
succe,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
listmaster,18,0,1.4e-05,0.761173,0.238827,6.7e-05,0.0,1.161947,0.0
skdclan,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
oilfield,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
nowz,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
sinatown,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
essenceandcore,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
annuities,9,0,7e-06,0.761173,0.238827,3.4e-05,0.0,1.161947,0.0
meds,9,0,7e-06,0.761173,0.238827,3.4e-05,0.0,1.161947,0.0
tragic,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
oreo,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
concering,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
aptw,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
fh,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
prosecuted,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
millionaires,8,0,6e-06,0.761173,0.238827,3e-05,0.0,1.161947,0.0
lotsonet,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
vale,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
vigoral,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
wherever,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
prison,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
spiritually,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
menores,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
viruschecked,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
stuffers,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
congratualtions,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
excitation,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
susceptive,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
businessweek,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
merchandising,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
visually,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
waxle,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
bundu,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
viatical,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
lisve,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
pettitoes,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
forit,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
aba,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
boaters,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
cabbage,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
checkbook,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
yard,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
concord,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
downloader,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
imitated,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
falcon,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
impulses,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
juvenil,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
laud,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
useabledatabases,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
devisor,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
drums,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
cheannach,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
playa,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
diazge,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
widow,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
whiie,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
freemason,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
evesinde,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
requital,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
phthisic,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
lasalle,21,0,1.6e-05,0.761173,0.238827,7.9e-05,0.0,1.161947,0.0
ger,7,0,5e-06,0.761173,0.238827,2.6e-05,0.0,1.161947,0.0
calomel,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
gcos,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
airbus,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
bardic,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
album,6,0,5e-06,0.761173,0.238827,2.2e-05,0.0,1.161947,0.0
fique,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
othersto,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
calipers,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
geturdear,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
techonline,6,0,5e-06,0.761173,0.238827,2.2e-05,0.0,1.161947,0.0
solicitud,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
locals,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
diversifying,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
activex,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
scurlock,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
recepci,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
steppe,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
discreetly,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
purchasingpower,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
favorabie,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
immediateiy,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
robertsl,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
youcan,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
woman,30,0,2.3e-05,0.761173,0.238827,0.000112,0.0,1.161947,0.0
tameable,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
stanza,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
mtao,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
hcm,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
herem,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ldwide,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
rasheidi,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
sonras,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
uo,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
surpassing,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
recevez,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
piaces,10,0,8e-06,0.761173,0.238827,3.7e-05,0.0,1.161947,0.0
sestertius,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
pharmazm,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
unmarried,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
chime,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
piled,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
storyclick,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
necroscopy,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
nawty,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
mailwisconsin,63,0,4.8e-05,0.761173,0.238827,0.000236,0.0,1.161947,0.0
edweber,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
successf,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
lginiz,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
addressmake,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
sani,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
beforejuly,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
custo,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
overweight,3,0,2e-06,0.761173,0.238827,1.1e-05,0.0,1.161947,0.0
admerchant,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
footprint,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
morntix,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
hoiding,5,0,4e-06,0.761173,0.238827,1.9e-05,0.0,1.161947,0.0
epidemic,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
umuz,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
eyewater,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
nameand,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
crocodile,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
uprightness,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
wpc,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
iiiustrator,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
welding,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
startedto,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
tweive,4,0,3e-06,0.761173,0.238827,1.5e-05,0.0,1.161947,0.0
valorous,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
splits,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
teardrop,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
disrupt,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
formipping,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
gazelles,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
riddle,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
tungsten,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
expiode,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
moshedelaney,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
boyffriend,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
oney,6,0,5e-06,0.761173,0.238827,2.2e-05,0.0,1.161947,0.0
spirits,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
fam,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
bulldozer,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
netleads,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
deepscan,2,0,2e-06,0.761173,0.238827,7e-06,0.0,1.161947,0.0
iccrea,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
adrianbold,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
ebooklet,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
songhas,1,0,1e-06,0.761173,0.238827,4e-06,0.0,1.161947,0.0
